Date;jour de la semaine;Congé;Férié;Students_Holidays_NL;Students_Holidays_FR
18-05-23;4;Ascension;1;1;1
29-05-23;1;Pentecôte;1;1;1
03-07-23;1;Vacances d'été;;1;
04-07-23;2;Vacances d'été;;1;
05-07-23;3;Vacances d'été;;1;
06-07-23;4;Vacances d'été;;1;
07-07-23;5;Vacances d'été;;1;
08-07-23;6;Vacances d'été;;1;
09-07-23;7;Vacances d'été;;1;
10-07-23;1;Vacances d'été;;1;1
11-07-23;2;Vacances d'été;;1;1
12-07-23;3;Vacances d'été;;1;1
13-07-23;4;Vacances d'été;;1;1
14-07-23;5;Vacances d'été;;1;1
15-07-23;6;Vacances d'été;;1;1
16-07-23;7;Vacances d'été;;1;1
17-07-23;1;Vacances d'été;;1;1
18-07-23;2;Vacances d'été;;1;1
19-07-23;3;Vacances d'été;;1;1
20-07-23;4;Vacances d'été;;1;1
21-07-23;5;Vacances d'été;1;1;1
22-07-23;6;Vacances d'été;;1;1
23-07-23;7;Vacances d'été;;1;1
24-07-23;1;Vacances d'été;;1;1
25-07-23;2;Vacances d'été;;1;1
26-07-23;3;Vacances d'été;;1;1
27-07-23;4;Vacances d'été;;1;1
28-07-23;5;Vacances d'été;;1;1
29-07-23;6;Vacances d'été;;1;1
30-07-23;7;Vacances d'été;;1;1
31-07-23;1;Vacances d'été;;1;1
01-08-23;2;Vacances d'été;;1;1
02-08-23;3;Vacances d'été;;1;1
03-08-23;4;Vacances d'été;;1;1
04-08-23;5;Vacances d'été;;1;1
05-08-23;6;Vacances d'été;;1;1
06-08-23;7;Vacances d'été;;1;1
07-08-23;1;Vacances d'été;;1;1
08-08-23;2;Vacances d'été;;1;1
09-08-23;3;Vacances d'été;;1;1
10-08-23;4;Vacances d'été;;1;1
11-08-23;5;Vacances d'été;;1;1
12-08-23;6;Vacances d'été;;1;1
13-08-23;7;Vacances d'été;;1;1
14-08-23;1;Vacances d'été;;1;1
15-08-23;2;Vacances d'été;1;1;1
16-08-23;3;Vacances d'été;;1;1
17-08-23;4;Vacances d'été;;1;1
18-08-23;5;Vacances d'été;;1;1
19-08-23;6;Vacances d'été;;1;1
20-08-23;7;Vacances d'été;;1;1
21-08-23;1;Vacances d'été;;1;1
22-08-23;2;Vacances d'été;;1;1
23-08-23;3;Vacances d'été;;1;1
24-08-23;4;Vacances d'été;;1;1
25-08-23;5;Vacances d'été;;1;1
26-08-23;6;Vacances d'été;;1;1
27-08-23;7;Vacances d'été;;1;1
28-08-23;1;Vacances d'été;;1;
29-08-23;2;Vacances d'été;;1;
30-08-23;3;Vacances d'été;;1;
31-08-23;4;Vacances d'été;;1;
27-09-23;3;Fête de la FWB;;;1
23-10-23;1;Toussaint;;;1
24-10-23;2;Toussaint;;;1
25-10-23;3;Toussaint;;;1
26-10-23;4;Toussaint;;;1
27-10-23;5;Toussaint;;;1
28-10-23;6;Toussaint;;;1
29-10-23;7;Toussaint;;;1
30-10-23;1;Toussaint;;1;1
31-10-23;2;Toussaint;;1;1
01-11-23;3;Toussaint;1;1;1
02-11-23;4;Toussaint;;1;1
03-11-23;5;Toussaint;;1;1
11-11-23;6;Armistice;1;1;1
25-12-23;1;Noel;1;1;1
26-12-23;2;Noel;;1;1
27-12-23;3;Noel;;1;1
28-12-23;4;Noel;;1;1
29-12-23;5;Noel;;1;1
30-12-23;6;Noel;;1;1
31-12-23;7;Noel;;1;1
01-01-24;1;Noel;1;1;1
02-01-24;2;Noel;;1;1
03-01-24;3;Noel;;1;1
04-01-24;4;Noel;;1;1
05-01-24;5;Noel;;1;1
06-01-24;6;Noel;;1;1
07-01-24;7;Noel;;1;1
12-02-24;1;Congé de carnaval ;;1;
13-02-24;2;Congé de carnaval ;;1;
14-02-24;3;Congé de carnaval ;;1;
15-02-24;4;Congé de carnaval ;;1;
16-02-24;5;Congé de carnaval ;;1;
26-02-24;1;Congé de détente;;;1
27-02-24;2;Congé de détente;;;1
28-02-24;3;Congé de détente;;;1
29-02-24;4;Congé de détente;;;1
01-03-24;5;Congé de détente;;;1
